subsys4	010B	001B	009B	012B	013A	014B	017B	018B
COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster	0	0	0	2	0	0	2	0
COG2152 predicted glycoside hydrolase	2	6	1	460	569	937	2557	901
COG2363	0	0	0	0	0	4	0	0
COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination	3852	10491	7618	3156	2130	1899	1964	574
COG3178: Predicted phosphotransferase related to Ser/Thr protein kinases	2	5	1	183	222	313	831	321
Colanic acid biosynthesis acetyltransferase WcaB (EC 2.3.1.-)	1	1	1	1	1	1	1	1
Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)	0	0	0	0	0	0	0	0
Colanic acid biosynthesis glycosyl transferase WcaA	0	1	0	0	0	0	0	0
Colanic acid biosynthesis glycosyl transferase WcaC	0	0	0	0	0	1	0	0
Colanic acid biosynthesis glycosyl transferase WcaE	0	0	0	1	0	0	0	1
Colanic acid biosynthesis glycosyl transferase WcaL	0	0	0	0	0	0	0	0
Colanic acid biosysnthesis glycosyl transferase WcaI	0	0	0	0	0	0	0	0
Colanic acid biosysnthesis protein WcaK	0	0	0	0	0	0	1	0
Colanic acid capsular biosynthesis activation accesory protein RcsA, co-regulator with RcsB	0	0	0	0	0	0	0	0
Colanic acid polymerase WcaD	0	0	0	0	0	0	0	0
Cold shock protein CspA	6239	9630	7465	27564	11182	60874	84176	20596
Cold shock protein CspB	1353	3	27	3	3	3	3	3
Cold shock protein CspC	17	19	8	2089	639	1091	6015	3432
Cold shock protein CspD	1	1	1	1	1	1	1	1
Cold shock protein CspE	1	1	1	1	4	1	1	1
Cold shock protein CspF	156	1	1	1	1	1	1	1
Cold shock protein CspG	20	4	3	4	4	4	4	4
Cold-shock DEAD-box protein A	1187	2775	2912	3545	4385	4407	8002	2582
Colicin I receptor precursor	7	14	6	2970	1312	1168	1828	2152
Collagen alpha 1(I) chain precursor	3	6	3	1068	307	1330	2546	2020
Collagen binding protein Cna	0	0	0	0	1	0	1	1
Collagen-like surface protein	0	0	0	0	0	0	0	0
ComF operon protein A, DNA transporter ATPase	59	151	46	46	54	46	38	15
ComF operon protein C	152	572	350	41	33	25	20	5
Competence protein CoiA	91	253	89	233	222	293	175	29
Competence protein F homolog, phosphoribosyltransferase domain	5	4	3	343	153	423	581	210
Competence-stimulating peptide ABC transporter ATP-binding protein ComA	0	4	2	3	25	3	30	8
Competence/damage-inducible protein CinA	0	0	0	2	0	0	2	0
Conjugative transfer protein TrbG	0	0	0	0	0	1	0	0
Conjugative transfer protein TrbP (IncF TraX homolog)	0	0	0	0	0	0	0	0
Conjugative transposon protein TraA	3	8	7	835	1037	1507	3451	2655
Conjugative transposon protein TraB	3	6	3	15	71	55	127	66
Conjugative transposon protein TraC	0	0	0	0	0	2	0	0
Conjugative transposon protein TraD	0	0	0	1	1	0	2	0
Conjugative transposon protein TraE	4	12	4	10	66	123	174	29
Conjugative transposon protein TraF	2	7	2	3	69	90	62	48
Conjugative transposon protein TraG	1	1	1	4	28	25	90	16
Conjugative transposon protein TraH	0	0	0	0	0	0	16	0
Conjugative transposon protein TraI	2	2	2	4	42	30	32	12
Conjugative transposon protein TraJ	1	2	1	3	60	18	56	18
Conjugative transposon protein TraK	1	1	1	4	14	19	43	8
Conjugative transposon protein TraL	0	0	0	3	6	0	9	0
Conjugative transposon protein TraM	1	3	1	5	46	63	92	18
Conjugative transposon protein TraN	2	4	2	6	53	56	72	22
Conjugative transposon protein TraO	2	6	2	2	63	38	22	20
Conjugative transposon protein TraP	1	1	0	1	4	1	8	3
Conjugative transposon protein TraQ	3	7	3	20	92	50	55	62
Conjugative transposon transfer DNA helicase	0	0	0	0	0	0	0	0
Conserved ATP-binding protein YghS	0	0	0	0	0	0	0	0
Conserved hypothetical protein (perhaps related to histidine degradation)	1	3	1	57	1	9	31	15
Conserved hypothetical TPR repeat protein, clustered with yghQ	0	0	0	0	0	0	0	0
Conserved protein LiaG in B. subtilis in Lia cluster	0	0	0	0	0	0	0	0
Conserved protein YcjX with nucleoside triphosphate hydrolase domain	0	0	0	0	0	0	0	0
Conserved protein YghR, with nucleoside triphosphate hydrolase domain	0	0	0	1	0	0	0	0
Conserved protein YghT, with nucleoside triphosphate hydrolase domain	1	0	0	0	0	3	0	0
Conserved uncharacterized protein CreA	2	0	0	0	0	0	2	0
Copper chaperone	231	843	415	1322	453	1607	1593	1159
Copper ion binding protein	2	3	2	568	459	826	1096	1562
Copper resistance protein C precursor	0	0	0	0	0	0	0	0
Copper resistance protein D	0	0	0	0	0	0	1	0
Copper sensory histidine kinase CpxA	0	0	0	0	0	4	0	0
Copper sensory histidine kinase CusS	0	0	0	2	0	0	0	3
Copper-sensing two-component system response regulator CpxR	0	1	1	5	5	31	15	1
Copper-translocating P-type ATPase (EC 3.6.3.4)	4490	7746	3550	4623	3778	7041	6572	5599
Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	0	0	0	0	0	0	0	0
Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	1	3	1	86	64	155	494	254
CRISPR-associated helicase Cas3	301	773	359	6	2	4	9	3
CRISPR-associated helicase Cas3, protein	2	2	2	28	50	1213	640	379
CRISPR-associated protein Cas1	76	571	145	302	799	5264	3204	1886
CRISPR-associated protein Cas2	118	814	158	423	508	1606	4554	1439
CRISPR-associated protein MTH1087	0	0	0	0	0	0	0	0
CRISPR-associated protein, Cas2	8	17	13	70	50	3300	1933	747
CRISPR-associated protein, Csn1 family	1	6	1	222	422	1249	2772	1133
CRISPR-associated protein, CT1133 family	0	1	0	1	3	0	2	0
CRISPR-associated protein, CT1134 family	1	1	1	1	5	2	3	1
CRISPR-associated protein, CT1974	7	3	4	112	115	2636	521	763
CRISPR-associated protein, CT1975 family	31	4	7	261	118	3692	1542	1283
CRISPR-associated protein, CT1976	4	16	1	215	70	3664	1108	1076
CRISPR-associated protein, SAG0894 family	2	1	1	225	11	7	212	10
CRISPR-associated protein, TM1800 family	0	0	0	1	0	2	0	0
CRISPR-associated protein, TM1801 family	1	2	1	3	2	2	2	1
CRISPR-associated RecB family exonuclease Cas4a	0	0	0	0	0	0	4	0
CRISPR-associated RecB family exonuclease Cas4b	1	1	0	2	2	1	2	2
Cro-like repressor, superantigen-encoding pathogenicity islands SaPI	0	0	0	1	4	1	0	1
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	21	25	12	2020	999	1700	2678	1363
Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)	0	0	0	0	0	0	1	0
Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	0	1	0	0	0	0	1	0
Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)	1	0	0	0	1	0	0	1
CTP synthase (EC 6.3.4.2)	1946	3914	3388	3573	4015	7433	8168	4555
CTP:molybdopterin cytidylyltransferase	0	2	0	0	2	2	2	0
Cu(I)-responsive transcriptional regulator	0	0	0	0	0	0	0	2
Curli production assembly/transport component CsgE	0	0	0	0	0	0	0	0
Curli production assembly/transport component CsgF	0	0	0	0	0	0	4	0
Curli production assembly/transport component CsgG	0	0	0	0	0	0	0	0
Cyanate transport protein CynX	2	0	0	0	1	0	0	0
Cyclic AMP receptor protein	1	2	1	1	2	3	1	2
Cyclic beta-1,2-glucan modification transmembrane protein	2	5	3	10	19	10	32	17
Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)	0	0	1	0	1	0	0	0
Cyclomaltodextrin glucanotransferase (EC 2.4.1.19)	28	50	26	6367	22	50	14651	14853
CylD	0	0	0	0	0	0	0	0
CylF	0	0	0	0	0	0	0	0
CylX	0	0	0	0	0	0	0	0
Cyn operon transcriptional activator	0	47	0	216	0	2	0	0
Cys regulon transcriptional activator CysB	0	1	0	0	0	0	1	0
Cystathionine beta-lyase (EC 4.4.1.8)	0	0	0	0	0	0	0	1
Cystathionine beta-synthase (EC 4.2.1.22)	0	0	0	1	0	0	0	0
Cystathionine gamma-lyase (EC 4.4.1.1)	3	12	0	1	1	1	1	1
Cystathionine gamma-synthase (EC 2.5.1.48)	1	3	1	1	1	5	1	1
Cysteine desulfurase (EC 2.8.1.7)	2118	5355	3319	2088	2014	3440	2041	448
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	0	0	0	0	0	1	0	0
Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	5563	15800	3256	5389	2889	3798	5943	4474
Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA	0	0	0	1	0	0	0	0
Cysteine synthase (EC 2.5.1.47)	4	8	4	417	479	787	1596	831
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	1783	5604	1870	3222	3104	5995	8257	4400
Cysteinyl-tRNA synthetase related protein	4	5	1	4	3	3	20	1
Cystine ABC transporter, ATP-binding protein	0	0	0	0	0	0	0	0
Cystine ABC transporter, periplasmic cystine-binding protein FliY	2	3	1	1510	123	548	542	337
Cystine ABC transporter, permease protein	171	1173	199	137	270	583	769	274
Cytidine deaminase (EC 3.5.4.5)	15	733	33	1077	1533	2576	3844	1201
Cytidylate kinase (EC 2.7.4.14)	3786	10288	5538	3024	3164	5545	4846	2280
Cytochrome c heme lyase subunit CcmF	0	0	0	0	0	0	0	0
Cytochrome c heme lyase subunit CcmH	0	0	1	0	0	0	0	0
Cytochrome c nitrite reductase, small subunit NrfH	0	3	0	0	0	0	0	0
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	0	0	0	0	1	0	0	0
Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	0	0	0	0	0	0	2	0
Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	0	0	0	0	0	0	0	0
Cytochrome c-type biogenesis protein CcdA (DsbD analog)	1	1	1	1	1	4	15	7
Cytochrome c-type biogenesis protein CcdA homolog, associated with MetSO reductase	0	0	0	4	1	0	10	20
Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE	0	0	0	0	0	0	0	0
Cytochrome c-type biogenesis protein CcmE, heme chaperone	0	0	0	0	0	0	2	0
Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase	1	3	1	31	4	74	104	26
Cytochrome c-type biogenesis protein Ccs1/ResB	0	0	0	1	0	0	0	1
Cytochrome c-type biogenesis protein CcsA/ResC	0	0	0	0	0	0	0	0
Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	2	4	2	358	361	759	1260	494
Cytochrome c-type biogenesis protein ResA	11	27	7	2901	1701	3346	7369	3985
Cytochrome c-type heme lyase subunit nrfE, nitrite reductase complex assembly	0	0	0	0	0	0	0	1
Cytochrome c-type heme lyase subunit nrfG, nitrite reductase complex assembly	2	0	0	0	0	1	0	0
Cytochrome c-type protein NrfB precursor	0	0	0	0	0	0	0	0
Cytochrome c-type protein TorC	1	0	0	0	0	0	0	0
Cytochrome c-type protein TorY	0	0	0	0	0	1	0	0
Cytochrome c551 peroxidase (EC 1.11.1.5)	0	0	1	1	0	1	1	0
Cytochrome c552 precursor (EC 1.7.2.2)	1	4	0	0	0	0	1	0
Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	154	1030	108	834	1596	1862	3169	3020
Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	168	618	115	1149	2089	2212	4205	2999
Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	0	0	0	0	0	0	1	0
Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	0	0	2	0	0	0	0	0
Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-)	0	0	0	0	0	0	0	0
Cytochrome O ubiquinol oxidase subunit IV (EC 1.10.3.-)	3	0	0	0	0	0	0	0
Cytoplasmic alpha-amylase (EC 3.2.1.1)	3	8	3	1081	1101	1879	5140	1687
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	46	44	10	2870	1924	4260	9207	5250
Cytoplasmic trehalase (EC 3.2.1.28)	0	0	0	0	0	2	0	0
Cytosine deaminase (EC 3.5.4.1)	2	28	25	562	729	1509	596	204
Cytosine permease	0	0	0	1	0	0	0	0
Cytosine/purine/uracil/thiamine/allantoin permease family protein	2	6	9	1036	707	1201	546	623
Cytosol aminopeptidase PepA (EC 3.4.11.1)	4	11	10	645	473	518	725	301
cytosolic long-chain acyl-CoA thioester hydrolase family protein	1	2	0	6	1	1	11	16
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	36	79	27	9418	5784	7266	22594	7700
D-alanine aminotransferase (EC 2.6.1.21)	1	1	0	1	1	1	1	1
D-alanine--D-alanine ligase (EC 6.3.2.4)	3132	7228	4959	5244	4360	7690	11874	6145
D-alanine--D-alanine ligase B (EC 6.3.2.4)	0	0	0	0	1	0	0	0
D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13)	2363	6518	3015	1765	2783	4523	3570	352
D-alanine--poly(phosphoribitol) ligase subunit 2 (EC 6.1.1.13)	13038	39625	20173	1194	2586	3291	2285	316
D-alanyl transfer protein DltB	6977	16723	8429	1874	1774	2974	2303	239
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	983	3489	1365	3356	3729	5406	4079	2219
D-allose ABC transporter, ATPase component	0	0	0	4	1	8	7	0
D-allose ABC transporter, permease component	0	0	0	0	1	0	0	0
D-allose ABC transporter, substrate-binding component	0	0	0	0	0	0	0	0
D-allose kinase (EC 2.7.1.55)	0	1	0	0	0	0	0	0
D-allose-6-phosphate isomerase (EC 5.3.1.-)	0	0	0	0	0	0	0	0
D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-), row_id 1016	0	0	0	0	0	0	0	0
D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-), row_id 846	0	0	0	0	0	0	1	0
D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	1	1	1	1	0	0	0	0
D-amino-acid oxidase (EC 1.4.3.3)	163	480	124	0	0	6	6	2
D-arabino-3-hexulose 6-phosphate formaldehyde lyase	0	0	1	0	0	0	0	0
D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	2	2	1	140	1	2	1	1
D-beta-hydroxybutyrate permease	0	0	0	0	72	48	1	3
D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72)	1	0	0	0	0	0	0	0
D-galactarate permease	1	0	0	0	0	1	1	0
D-Galactonate repressor DgoR	0	1	1	140	1	31	193	211
D-galactonate transporter	0	0	0	0	0	1	0	0
D-glucarate permease	1	1	0	0	0	1	1	0
D-glycerate 2-kinase (EC 2.7.1.-)	0	0	0	0	0	0	0	0
D-glycerate transporter (predicted)	1	1	1	3	2	1	1	1
D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)	2	7	1	509	91	411	674	367
D-lactate dehydrogenase (EC 1.1.1.28)	17773	53117	19109	582	1960	1128	2044	699
D-Lactate dehydrogenase (EC 1.1.2.5)	1	0	0	0	0	1	0	0
D-mannonate oxidoreductase (EC 1.1.1.57)	1	8	1	1336	1506	149	4267	1173
D-proline reductase, 26 kDa subunit (EC 1.21.4.1)	1	1	0	2	1	2	1	1
D-proline reductase, 45 kDa subunit (EC 1.21.4.1)	1	0	0	2	0	1	6	1
D-serine dehydratase (EC 4.3.1.18)	0	0	0	1	0	1	1	2
D-serine dehydratase transcriptional activator	1	0	0	0	0	1	0	0
D-serine permease DsdX	0	0	0	0	0	0	0	1
D-serine/D-alanine/glycine transporter	466	1121	1815	991	1692	1790	1513	674
D-specific D-2-hydroxyacid dehydrogenase ddh homolog (EC 1.1.1.28)	0	0	2	0	0	0	0	0
D-tyrosyl-tRNA(Tyr) deacylase	1902	4138	2269	2033	2114	4282	2834	1370
D-xylose proton-symporter XylT	0	0	0	0	0	0	0	0
D-xylose transport ATP-binding protein XylG	0	0	1	0	0	0	1	0
D,D-heptose 7-phosphate kinase	0	0	0	0	0	0	11	25
Deacetylases, including yeast histone deacetylase and acetoin utilization protein	0	0	0	0	0	1	0	0
Death on curing protein, Doc toxin	535	5142	742	804	417	267	299	350
Deblocking aminopeptidase (EC 3.4.11.-)	931	2665	1423	480	714	959	254	65
DedA protein	152	667	287	521	254	697	1250	539
DegV family protein in cluster with TrmH family tRNA/rRNA methyltransferase YacO	0	0	0	0	0	0	0	0
dehydrogenase clustered with L-fuconate utilization genes	1	0	0	0	0	0	0	26
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	1	0	0	1	1	0	21	0
Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	10	16	9	2309	378	1207	2532	1525
Deoxyguanosine kinase (EC 2.7.1.113)	10993	23854	19906	4078	8366	8413	9448	3940
Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	398	853	580	1652	1342	3394	3853	2854
Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	0	0	1	1	0	0	1	1
Deoxyribonuclease TatD	0	0	0	1	4	6	15	12
Deoxyribonucleoside regulator DeoR (transcriptional repressor)	8	7	6	1411	357	1187	1207	526
Deoxyribose operon repressor, DeoR family	0	2	0	0	0	0	1	0
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	19	48	23	4968	3410	3641	9144	3530
Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	1022	2309	1238	4425	2806	6482	11703	6881
Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23) [SA bacteriophages 11, Mu50B]	0	0	0	0	0	0	0	0
Dephospho-CoA kinase (EC 2.7.1.24)	748	2640	909	3015	2799	3813	5134	2520
Dethiobiotin synthetase (EC 6.3.3.3)	3	3	4	616	573	1499	1062	1053
DHA-specific EI component	0	1	0	0	0	1	0	0
DHA-specific IIA component	713	2825	30	344	576	1698	1172	257
Di-/tripeptide transporter	1	79	0	88	14	22	176	11
Di/tripeptide permease DtpB	0	0	0	0	0	0	0	0
Di/tripeptide permease DtpT	1	7	7	306	443	723	1431	602
Di/tripeptide permease YjdL	153	292	521	516	1440	840	626	65
Diacylglycerol kinase (EC 2.7.1.107)	3	6	13	5	3	3	5	5
Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	7400	20921	969	510	572	1566	2213	840
Diaminopimelate decarboxylase (EC 4.1.1.20)	114	1947	697	546	636	1933	1980	1011
Diaminopimelate epimerase (EC 5.1.1.7)	71	827	286	1466	1132	2319	4153	1524
dicarboxylic acid transporter PcaT	0	0	0	0	1	1	0	0
diglucosyldiacylglycerol synthase (LTA membrane anchor synthesis)	3	4	3	1020	321	581	1185	477
diguanylate cyclase (GGDEF domain) with PAS/PAC sensor	0	0	0	0	0	0	0	1
diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	1	1	1	0	0	1	1	0
Dihydrodipicolinate reductase (EC 1.3.1.26)	27	1537	575	2501	1747	3815	6096	3550
Dihydrodipicolinate synthase (EC 4.2.1.52)	23	1320	520	2974	2189	3766	7776	3149
Dihydroflavonol-4-reductase (EC 1.1.1.219)	0	4	0	4	4	0	0	0
Dihydrofolate reductase (EC 1.5.1.3)	8308	6602	1888	2259	1198	2198	3494	1188
Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.-)	202	342	43	278	497	151	1367	815
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	825	9	127	10	1	23	23	5
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	2464	1	1	2	1	5	1	9
Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	3	4	1	260	166	417	823	429
Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	0	0	0	0	0	0	1	1
Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	4	10	7	621	643	409	1908	823
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	1291	0	0	1	0	1	0	0
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	122	9	75	1	1	7	8	2
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	6	1	0	1	0	4	0	0
Dihydroneopterin aldolase (EC 4.1.2.25)	13	44	14	1219	1147	1553	1814	1236
Dihydroneopterin triphosphate epimerase	0	0	0	0	0	0	0	0
Dihydroorotase (EC 3.5.2.3)	3127	8905	2983	2436	1106	4061	3844	2267
Dihydroorotate dehydrogenase (EC 1.3.3.1)	5	7	4	1687	394	865	3865	2360
Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	18	28	15	1348	954	1994	3758	2253
Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)	2830	4427	2776	2731	2719	9535	4244	2078
Dihydropteroate synthase (EC 2.5.1.15)	18	44	65	2362	1504	2390	3881	1747
Dihydropyrimidinase (EC 3.5.2.2)	1	4	1	1	1	3	1	1
Dihydropyrimidine dehydrogenase [NADP+] (EC 1.3.1.2)	0	1	0	0	0	0	0	0
Dihydroxy-acid dehydratase (EC 4.2.1.9)	3	4	2	550	209	3797	409	64
Dihydroxyacetone kinase family protein	4971	12727	6396	1593	2933	3670	1676	400
Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)	0	0	0	0	1	2	0	1
Dimeric dUTPase (EC 3.6.1.23)	0	0	0	0	2	0	25	4
Dimethyladenosine transferase (EC 2.1.1.-)	1138	3053	2201	1866	1505	2616	3000	1448
DinG family ATP-dependent helicase CPE1197	1	1	0	1	1	13	10	5
DinG family ATP-dependent helicase YoaA	968	2247	1494	41	59	44	49	16
Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	13	22	12	839	520	1291	1980	1377
Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	5	17	9	67	121	135	117	34
Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	3	6	5	1632	877	1580	1787	2115
Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	5	14	4	750	594	1866	1186	1331
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	15	33	15	4923	7089	11763	10125	8318
Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)	3	16	4	598	468	1065	1945	1031
Dipeptidyl peptidase IV in 4-hydroxyproline catabolic gene cluster	7	21	7	816	923	2117	3922	1610
Diphosphomevalonate decarboxylase (EC 4.1.1.33)	323	914	482	849	400	484	860	705
Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits	1	9	1	1	1	1	1	1
DNA for glycosyltransferase, lytic transglycosylase, dTDP-4-rhamnose reductase	0	0	0	1	0	0	2	2
DNA gyrase subunit A (EC 5.99.1.3)	2931	6120	3612	7435	8077	11305	12063	5300
DNA gyrase subunit B (EC 5.99.1.3)	2477	5976	3077	8944	7898	14501	19640	10155
DNA helicase (Rad25 homolog)	0	0	0	0	0	0	0	0
DNA helicase IV	0	0	0	0	0	0	0	0
DNA ligase (EC 6.5.1.2)	1839	6454	2708	1811	1236	2074	2867	1243
DNA mismatch repair endonuclease MutH	1	1	1	1	1	515	2	1
DNA mismatch repair protein MutL	525	1471	995	1169	887	1351	1730	658
DNA mismatch repair protein MutS	446	1184	804	1632	1521	2494	2739	1126
DNA polymerase I (EC 2.7.7.7)	771	2481	721	1670	683	1516	2824	1553
DNA polymerase II (EC 2.7.7.7)	0	1	0	0	0	0	0	0
DNA polymerase III alpha subunit (EC 2.7.7.7)	2585	7075	4463	1794	1304	2562	2773	959
DNA polymerase III beta subunit (EC 2.7.7.7)	1787	4331	2056	4276	3392	6498	9105	4832
DNA polymerase III chi subunit (EC 2.7.7.7)	0	0	0	0	0	0	0	0
DNA polymerase III delta prime subunit (EC 2.7.7.7)	2326	6858	3604	1203	1592	3062	2857	1937
DNA polymerase III delta subunit (EC 2.7.7.7)	190	433	307	780	441	829	1705	1276
DNA polymerase III epsilon subunit (EC 2.7.7.7)	305	1111	634	481	246	568	389	226
DNA polymerase III psi subunit (EC 2.7.7.7)	0	0	0	0	0	0	0	2
DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	818	2013	1653	2071	1828	2816	4169	1707
DNA polymerase IV (EC 2.7.7.7)	464	1572	579	1322	1380	1972	3338	1331
DNA primase (EC 2.7.7.-)	2241	9357	3386	2038	2275	2931	4164	1875
DNA recombinase, phage-associated	1	3	3	10	7	61	19	6
DNA recombination and repair protein RecF	2259	5265	2597	1339	1823	2926	3612	1508
DNA recombination and repair protein RecO	554	1381	952	1640	2428	2381	1068	435
DNA recombination protein RmuC	4	7	3	448	534	1384	1964	856
DNA recombination-dependent growth factor C	1	1	1	187	11	64	1225	549
DNA repair exonuclease family protein YhaO	451	1090	905	791	730	1034	1011	482
DNA repair protein RadA	716	1425	744	1900	1205	2468	2769	1376
DNA repair protein RadC	1365	3008	1850	664	373	393	667	197
DNA repair protein RecN	3210	8201	4929	1849	1699	2311	3419	1374
DNA replication intiation control protein YabA	6014	14365	7573	827	1832	2616	744	180
DNA replication protein DnaC	77	361	134	41	20	23	71	89
DNA replication terminus site-binding protein	1	0	0	0	0	0	0	0
DNA sulfur modification protein DndD	0	0	0	0	0	0	0	0
DNA topoisomerase I (EC 5.99.1.2)	1640	4921	2576	2387	2373	3666	7937	4568
DNA topoisomerase III (EC 5.99.1.2)	31	427	5	231	396	921	1451	611
DNA topoisomerase III domain	0	0	0	0	0	0	2	0
DNA topoisomerase III, Bacteroidales-type (EC 5.99.1.2)	1	2	1	3	35	20	53	18
DNA transformation protein TfoX	1	1	0	1	1	1	1	1
DNA-3-methyladenine glycosylase (EC 3.2.2.20)	305	629	386	9	38	6	41	28
DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	214	464	208	427	154	291	594	365
DNA-binding capsular synthesis response regulator RcsB	0	1	0	0	0	3	0	0
DNA-binding heavy metal response regulator	2101	6435	3514	2811	4792	8670	2518	746
DNA-binding protein Fis	0	0	0	0	0	0	0	0
DNA-binding protein H-NS	0	0	0	0	0	0	0	0
DNA-binding protein HBsu	9201	19872	16492	7731	8595	20980	27193	10408
DNA-binding protein HU	41	81	34	12450	18461	22139	35860	20563
DNA-binding protein HU-alpha	16	56	24	9015	2625	15515	44682	22395
DNA-binding protein HU-beta	11	27	10	4864	5651	19152	23462	11916
DNA-binding protein stpA	0	0	0	0	0	0	0	2
DNA-binding response regulator ChvI	0	0	0	0	0	0	0	0
DNA-binding response regulator ResD	0	0	0	0	0	11	1	0
DNA-damage-inducible protein J	13631	25310	6491	17476	18000	21015	21355	8788
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	21300	52769	43841	42171	45263	49537	69210	28302
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	2997	7360	4717	4981	4593	6766	17070	8804
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	3186	8336	5742	8820	9293	10831	22664	9338
DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)	10448	24993	15891	4141	7198	6803	3203	947
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	760	2371	1002	6661	2528	11314	9522	10355
DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)	1370	2973	1635	1452	2566	2651	1181	370
DnaJ-class molecular chaperone CbpA	11	56	11	4879	1042	1384	4887	7412
DnaJ-like protein DjlA	0	1	0	0	0	1	0	0
Domain often clustered or fused with uracil-DNA glycosylase	0	0	0	1	0	0	1	0
Drug/metabolite transporter (DMT) superfamily protein	1	1	1	361	68	145	563	396
dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	5	9	8	324	323	1162	886	530
